"Cost per minute in AED on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,AED,,"50,000",List rate,0.0371
,AED,"50,001","250,000",Tier rate,0.0309
,AED,"250,001","1,000,000",Tier rate,0.0268
,AED,"1,000,001","2,500,000",Tier rate,0.0231
,AED,"2,500,001","5,000,000",Tier rate,0.0191
,AED,"5,000,001",--,Tier rate,0.0169
Brazil,AED,,"50,000",List rate,0.0397
,AED,"50,001","250,000",Tier rate,0.025
,AED,"250,001","1,000,000",Tier rate,0.0162
,AED,"1,000,001","2,500,000",Tier rate,0.0125
,AED,"2,500,001","5,000,000",Tier rate,0.0074
,AED,"5,000,001",--,Tier rate,0.0066
Chile,AED,,"50,000",List rate,0.0444
,AED,"50,001","250,000",Tier rate,0.036
,AED,"250,001","1,000,000",Tier rate,0.0316
,AED,"1,000,001","2,500,000",Tier rate,0.0272
,AED,"2,500,001","5,000,000",Tier rate,0.0242
,AED,"5,000,001",--,Tier rate,0.0202
Colombia,AED,,"50,000",List rate,0.0408
,AED,"50,001","250,000",Tier rate,0.0334
,AED,"250,001","1,000,000",Tier rate,0.0294
,AED,"1,000,001","2,500,000",Tier rate,0.0239
,AED,"2,500,001","5,000,000",Tier rate,0.0147
,AED,"5,000,001",--,Tier rate,0.0143
Egypt,AED,,"50,000",List rate,0.0466
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.033
,AED,"1,000,001","2,500,000",Tier rate,0.025
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0183
France,AED,,"50,000",List rate,0.0363
,AED,"50,001","250,000",Tier rate,0.0301
,AED,"250,001","1,000,000",Tier rate,0.026
,AED,"1,000,001","2,500,000",Tier rate,0.0216
,AED,"2,500,001","5,000,000",Tier rate,0.0191
,AED,"5,000,001",--,Tier rate,0.0172
Germany,AED,,"50,000",List rate,0.0378
,AED,"50,001","250,000",Tier rate,0.0308
,AED,"250,001","1,000,000",Tier rate,0.0272
,AED,"1,000,001","2,500,000",Tier rate,0.0228
,AED,"2,500,001","5,000,000",Tier rate,0.0172
,AED,"5,000,001",--,Tier rate,0.0154
India,AED,,"50,000",List rate,0.0195
,AED,"50,001","250,000",Tier rate,0.014
,AED,"250,001","1,000,000",Tier rate,0.0088
,AED,"1,000,001","2,500,000",Tier rate,0.0066
,AED,"2,500,001","5,000,000",Tier rate,0.0044
,AED,"5,000,001",--,Tier rate,0.0029
Indonesia,AED,,"50,000",List rate,0.0889
,AED,"50,001","250,000",Tier rate,0.0771
,AED,"250,001","1,000,000",Tier rate,0.0724
,AED,"1,000,001","2,500,000",Tier rate,0.0672
,AED,"2,500,001","5,000,000",Tier rate,0.0573
,AED,"5,000,001",--,Tier rate,0.0525
Israel,AED,,"50,000",List rate,0.0466
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.0338
,AED,"1,000,001","2,500,000",Tier rate,0.0239
,AED,"2,500,001","5,000,000",Tier rate,0.0198
,AED,"5,000,001",--,Tier rate,0.0176
Italy,AED,,"50,000",List rate,0.0444
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.0349
,AED,"1,000,001","2,500,000",Tier rate,0.0305
,AED,"2,500,001","5,000,000",Tier rate,0.0279
,AED,"5,000,001",--,Tier rate,0.0253
Malaysia,AED,,"50,000",List rate,0.0397
,AED,"50,001","250,000",Tier rate,0.0346
,AED,"250,001","1,000,000",Tier rate,0.0261
,AED,"1,000,001","2,500,000",Tier rate,0.0254
,AED,"2,500,001","5,000,000",Tier rate,0.0217
,AED,"5,000,001",--,Tier rate,0.0195
Mexico,AED,,"50,000",List rate,0.0345
,AED,"50,001","250,000",Tier rate,0.0294
,AED,"250,001","1,000,000",Tier rate,0.0257
,AED,"1,000,001","2,500,000",Tier rate,0.0198
,AED,"2,500,001","5,000,000",Tier rate,0.0154
,AED,"5,000,001",--,Tier rate,0.0139
Netherlands,AED,,"50,000",List rate,0.0231
,AED,"50,001","250,000",Tier rate,0.0191
,AED,"250,001","1,000,000",Tier rate,0.0158
,AED,"1,000,001","2,500,000",Tier rate,0.0125
,AED,"2,500,001","5,000,000",Tier rate,0.0092
,AED,"5,000,001",--,Tier rate,0.0084
Nigeria,AED,,"50,000",List rate,0.0378
,AED,"50,001","250,000",Tier rate,0.0308
,AED,"250,001","1,000,000",Tier rate,0.0272
,AED,"1,000,001","2,500,000",Tier rate,0.0253
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0195
Pakistan,AED,,"50,000",List rate,0.0437
,AED,"50,001","250,000",Tier rate,0.0338
,AED,"250,001","1,000,000",Tier rate,0.0301
,AED,"1,000,001","2,500,000",Tier rate,0.0275
,AED,"2,500,001","5,000,000",Tier rate,0.0261
,AED,"5,000,001",--,Tier rate,0.0246
Peru,AED,,"50,000",List rate,0.0444
,AED,"50,001","250,000",Tier rate,0.036
,AED,"250,001","1,000,000",Tier rate,0.0316
,AED,"1,000,001","2,500,000",Tier rate,0.0272
,AED,"2,500,001","5,000,000",Tier rate,0.0235
,AED,"5,000,001",--,Tier rate,0.0216
Russia,AED,,"50,000",List rate,0.0356
,AED,"50,001","250,000",Tier rate,0.0301
,AED,"250,001","1,000,000",Tier rate,0.0261
,AED,"1,000,001","2,500,000",Tier rate,0.0213
,AED,"2,500,001","5,000,000",Tier rate,0.0158
,AED,"5,000,001",--,Tier rate,0.0147
Saudi Arabia,AED,,"50,000",List rate,0.0466
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.033
,AED,"1,000,001","2,500,000",Tier rate,0.025
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0183
South Africa,AED,,"50,000",List rate,0.0397
,AED,"50,001","250,000",Tier rate,0.0287
,AED,"250,001","1,000,000",Tier rate,0.0217
,AED,"1,000,001","2,500,000",Tier rate,0.0162
,AED,"2,500,001","5,000,000",Tier rate,0.0151
,AED,"5,000,001",--,Tier rate,0.014
Spain,AED,,"50,000",List rate,0.0474
,AED,"50,001","250,000",Tier rate,0.0415
,AED,"250,001","1,000,000",Tier rate,0.0371
,AED,"1,000,001","2,500,000",Tier rate,0.0312
,AED,"2,500,001","5,000,000",Tier rate,0.0254
,AED,"5,000,001",--,Tier rate,0.0224
Turkey,AED,,"50,000",List rate,0.0397
,AED,"50,001","250,000",Tier rate,0.032
,AED,"250,001","1,000,000",Tier rate,0.0283
,AED,"1,000,001","2,500,000",Tier rate,0.0239
,AED,"2,500,001","5,000,000",Tier rate,0.0176
,AED,"5,000,001",--,Tier rate,0.0154
United Arab Emirates,AED,,"50,000",List rate,0.0466
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.033
,AED,"1,000,001","2,500,000",Tier rate,0.025
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0183
United Kingdom,AED,,"50,000",List rate,0.0363
,AED,"50,001","250,000",Tier rate,0.0315
,AED,"250,001","1,000,000",Tier rate,0.0275
,AED,"1,000,001","2,500,000",Tier rate,0.0209
,AED,"2,500,001","5,000,000",Tier rate,0.0154
,AED,"5,000,001",--,Tier rate,0.0132
North America,AED,,"50,000",List rate,0.0444
,AED,"50,001","250,000",Tier rate,0.0371
,AED,"250,001","1,000,000",Tier rate,0.033
,AED,"1,000,001","2,500,000",Tier rate,0.0239
,AED,"2,500,001","5,000,000",Tier rate,0.0158
,AED,"5,000,001",--,Tier rate,0.0154
Rest of Africa,AED,,"50,000",List rate,0.0378
,AED,"50,001","250,000",Tier rate,0.0308
,AED,"250,001","1,000,000",Tier rate,0.0272
,AED,"1,000,001","2,500,000",Tier rate,0.0228
,AED,"2,500,001","5,000,000",Tier rate,0.0172
,AED,"5,000,001",--,Tier rate,0.0154
Rest of Asia Pacific,AED,,"50,000",List rate,0.0419
,AED,"50,001","250,000",Tier rate,0.0345
,AED,"250,001","1,000,000",Tier rate,0.0298
,AED,"1,000,001","2,500,000",Tier rate,0.0254
,AED,"2,500,001","5,000,000",Tier rate,0.0191
,AED,"5,000,001",--,Tier rate,0.0162
Rest of Central & Eastern Europe,AED,,"50,000",List rate,0.0349
,AED,"50,001","250,000",Tier rate,0.0279
,AED,"250,001","1,000,000",Tier rate,0.0242
,AED,"1,000,001","2,500,000",Tier rate,0.0213
,AED,"2,500,001","5,000,000",Tier rate,0.0158
,AED,"5,000,001",--,Tier rate,0.0136
Rest of Latin America,AED,,"50,000",List rate,0.0426
,AED,"50,001","250,000",Tier rate,0.0349
,AED,"250,001","1,000,000",Tier rate,0.0301
,AED,"1,000,001","2,500,000",Tier rate,0.0257
,AED,"2,500,001","5,000,000",Tier rate,0.0176
,AED,"5,000,001",--,Tier rate,0.0173
Rest of Middle East,AED,,"50,000",List rate,0.0466
,AED,"50,001","250,000",Tier rate,0.0393
,AED,"250,001","1,000,000",Tier rate,0.033
,AED,"1,000,001","2,500,000",Tier rate,0.025
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0183
Rest of Western Europe,AED,,"50,000",List rate,0.0378
,AED,"50,001","250,000",Tier rate,0.0308
,AED,"250,001","1,000,000",Tier rate,0.0272
,AED,"1,000,001","2,500,000",Tier rate,0.0228
,AED,"2,500,001","5,000,000",Tier rate,0.0202
,AED,"5,000,001",--,Tier rate,0.0172
Other,AED,,"50,000",List rate,0.0485
,AED,"50,001","250,000",Tier rate,0.0415
,AED,"250,001","1,000,000",Tier rate,0.0353
,AED,"1,000,001","2,500,000",Tier rate,0.0305
,AED,"2,500,001","5,000,000",Tier rate,0.0279
,AED,"5,000,001",--,Tier rate,0.0265
