"Cost per minute in ARS on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,ARS,,"50,000",List rate,14.6372
,ARS,"50,001","250,000",Tier rate,12.1735
,ARS,"250,001","1,000,000",Tier rate,10.5793
,ARS,"1,000,001","2,500,000",Tier rate,9.1301
,ARS,"2,500,001","5,000,000",Tier rate,7.536
,ARS,"5,000,001",--,Tier rate,6.6665
Brazil,ARS,,"50,000",List rate,15.6516
,ARS,"50,001","250,000",Tier rate,9.8547
,ARS,"250,001","1,000,000",Tier rate,6.3766
,ARS,"1,000,001","2,500,000",Tier rate,4.9273
,ARS,"2,500,001","5,000,000",Tier rate,2.8985
,ARS,"5,000,001",--,Tier rate,2.6087
Chile,ARS,,"50,000",List rate,17.5356
,ARS,"50,001","250,000",Tier rate,14.2024
,ARS,"250,001","1,000,000",Tier rate,12.4633
,ARS,"1,000,001","2,500,000",Tier rate,10.7242
,ARS,"2,500,001","5,000,000",Tier rate,9.5648
,ARS,"5,000,001",--,Tier rate,7.9708
Colombia,ARS,,"50,000",List rate,16.0864
,ARS,"50,001","250,000",Tier rate,13.188
,ARS,"250,001","1,000,000",Tier rate,11.5938
,ARS,"1,000,001","2,500,000",Tier rate,9.42
,ARS,"2,500,001","5,000,000",Tier rate,5.7969
,ARS,"5,000,001",--,Tier rate,5.6521
Egypt,ARS,,"50,000",List rate,18.4051
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.043
,ARS,"1,000,001","2,500,000",Tier rate,9.8546
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,7.2461
France,ARS,,"50,000",List rate,14.3473
,ARS,"50,001","250,000",Tier rate,11.8836
,ARS,"250,001","1,000,000",Tier rate,10.2895
,ARS,"1,000,001","2,500,000",Tier rate,8.5504
,ARS,"2,500,001","5,000,000",Tier rate,7.5359
,ARS,"5,000,001",--,Tier rate,6.8114
Germany,ARS,,"50,000",List rate,14.927
,ARS,"50,001","250,000",Tier rate,12.1734
,ARS,"250,001","1,000,000",Tier rate,10.7243
,ARS,"1,000,001","2,500,000",Tier rate,8.9852
,ARS,"2,500,001","5,000,000",Tier rate,6.8113
,ARS,"5,000,001",--,Tier rate,6.0868
India,ARS,,"50,000",List rate,7.6809
,ARS,"50,001","250,000",Tier rate,5.5071
,ARS,"250,001","1,000,000",Tier rate,3.4781
,ARS,"1,000,001","2,500,000",Tier rate,2.6086
,ARS,"2,500,001","5,000,000",Tier rate,1.7391
,ARS,"5,000,001",--,Tier rate,1.1594
Indonesia,ARS,,"50,000",List rate,35.0712
,ARS,"50,001","250,000",Tier rate,30.4337
,ARS,"250,001","1,000,000",Tier rate,28.5497
,ARS,"1,000,001","2,500,000",Tier rate,26.5208
,ARS,"2,500,001","5,000,000",Tier rate,22.6079
,ARS,"5,000,001",--,Tier rate,20.7239
Israel,ARS,,"50,000",List rate,18.4051
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.3328
,ARS,"1,000,001","2,500,000",Tier rate,9.4199
,ARS,"2,500,001","5,000,000",Tier rate,7.8258
,ARS,"5,000,001",--,Tier rate,6.9562
Italy,ARS,,"50,000",List rate,17.5356
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.7676
,ARS,"1,000,001","2,500,000",Tier rate,12.0285
,ARS,"2,500,001","5,000,000",Tier rate,11.0141
,ARS,"5,000,001",--,Tier rate,9.9997
Malaysia,ARS,,"50,000",List rate,15.6516
,ARS,"50,001","250,000",Tier rate,13.6227
,ARS,"250,001","1,000,000",Tier rate,10.2895
,ARS,"1,000,001","2,500,000",Tier rate,9.9997
,ARS,"2,500,001","5,000,000",Tier rate,8.5505
,ARS,"5,000,001",--,Tier rate,7.6809
Mexico,ARS,,"50,000",List rate,13.6227
,ARS,"50,001","250,000",Tier rate,11.5937
,ARS,"250,001","1,000,000",Tier rate,10.1446
,ARS,"1,000,001","2,500,000",Tier rate,7.8258
,ARS,"2,500,001","5,000,000",Tier rate,6.0868
,ARS,"5,000,001",--,Tier rate,5.5071
Netherlands,ARS,,"50,000",List rate,9.1301
,ARS,"50,001","250,000",Tier rate,7.536
,ARS,"250,001","1,000,000",Tier rate,6.2317
,ARS,"1,000,001","2,500,000",Tier rate,4.9273
,ARS,"2,500,001","5,000,000",Tier rate,3.6231
,ARS,"5,000,001",--,Tier rate,3.3332
Nigeria,ARS,,"50,000",List rate,14.927
,ARS,"50,001","250,000",Tier rate,12.1734
,ARS,"250,001","1,000,000",Tier rate,10.7243
,ARS,"1,000,001","2,500,000",Tier rate,9.9996
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,7.6808
Pakistan,ARS,,"50,000",List rate,17.2458
,ARS,"50,001","250,000",Tier rate,13.3329
,ARS,"250,001","1,000,000",Tier rate,11.8837
,ARS,"1,000,001","2,500,000",Tier rate,10.8692
,ARS,"2,500,001","5,000,000",Tier rate,10.2895
,ARS,"5,000,001",--,Tier rate,9.7099
Peru,ARS,,"50,000",List rate,17.5356
,ARS,"50,001","250,000",Tier rate,14.2024
,ARS,"250,001","1,000,000",Tier rate,12.4633
,ARS,"1,000,001","2,500,000",Tier rate,10.7242
,ARS,"2,500,001","5,000,000",Tier rate,9.2751
,ARS,"5,000,001",--,Tier rate,8.5504
Russia,ARS,,"50,000",List rate,14.0575
,ARS,"50,001","250,000",Tier rate,11.8836
,ARS,"250,001","1,000,000",Tier rate,10.2895
,ARS,"1,000,001","2,500,000",Tier rate,8.4055
,ARS,"2,500,001","5,000,000",Tier rate,6.2317
,ARS,"5,000,001",--,Tier rate,5.7969
Saudi Arabia,ARS,,"50,000",List rate,18.4051
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.043
,ARS,"1,000,001","2,500,000",Tier rate,9.8546
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,7.2461
South Africa,ARS,,"50,000",List rate,15.6516
,ARS,"50,001","250,000",Tier rate,11.3039
,ARS,"250,001","1,000,000",Tier rate,8.5505
,ARS,"1,000,001","2,500,000",Tier rate,6.3766
,ARS,"2,500,001","5,000,000",Tier rate,5.9418
,ARS,"5,000,001",--,Tier rate,5.507
Spain,ARS,,"50,000",List rate,18.695
,ARS,"50,001","250,000",Tier rate,16.3763
,ARS,"250,001","1,000,000",Tier rate,14.6373
,ARS,"1,000,001","2,500,000",Tier rate,12.3183
,ARS,"2,500,001","5,000,000",Tier rate,9.9996
,ARS,"5,000,001",--,Tier rate,8.8403
Turkey,ARS,,"50,000",List rate,15.6516
,ARS,"50,001","250,000",Tier rate,12.6083
,ARS,"250,001","1,000,000",Tier rate,11.159
,ARS,"1,000,001","2,500,000",Tier rate,9.4199
,ARS,"2,500,001","5,000,000",Tier rate,6.9562
,ARS,"5,000,001",--,Tier rate,6.0868
United Arab Emirates,ARS,,"50,000",List rate,18.4051
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.043
,ARS,"1,000,001","2,500,000",Tier rate,9.8546
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,7.2461
United Kingdom,ARS,,"50,000",List rate,14.3473
,ARS,"50,001","250,000",Tier rate,12.4634
,ARS,"250,001","1,000,000",Tier rate,10.8692
,ARS,"1,000,001","2,500,000",Tier rate,8.2606
,ARS,"2,500,001","5,000,000",Tier rate,6.0867
,ARS,"5,000,001",--,Tier rate,5.2173
North America,ARS,,"50,000",List rate,17.5356
,ARS,"50,001","250,000",Tier rate,14.6371
,ARS,"250,001","1,000,000",Tier rate,13.043
,ARS,"1,000,001","2,500,000",Tier rate,9.4199
,ARS,"2,500,001","5,000,000",Tier rate,6.2318
,ARS,"5,000,001",--,Tier rate,6.0868
Rest of Africa,ARS,,"50,000",List rate,14.927
,ARS,"50,001","250,000",Tier rate,12.1734
,ARS,"250,001","1,000,000",Tier rate,10.7243
,ARS,"1,000,001","2,500,000",Tier rate,8.9852
,ARS,"2,500,001","5,000,000",Tier rate,6.8113
,ARS,"5,000,001",--,Tier rate,6.0868
Rest of Asia Pacific,ARS,,"50,000",List rate,16.5211
,ARS,"50,001","250,000",Tier rate,13.6226
,ARS,"250,001","1,000,000",Tier rate,11.7387
,ARS,"1,000,001","2,500,000",Tier rate,9.9996
,ARS,"2,500,001","5,000,000",Tier rate,7.5359
,ARS,"5,000,001",--,Tier rate,6.3765
Rest of Central & Eastern Europe,ARS,,"50,000",List rate,13.7676
,ARS,"50,001","250,000",Tier rate,11.0141
,ARS,"250,001","1,000,000",Tier rate,9.5649
,ARS,"1,000,001","2,500,000",Tier rate,8.4055
,ARS,"2,500,001","5,000,000",Tier rate,6.2316
,ARS,"5,000,001",--,Tier rate,5.3621
Rest of Latin America,ARS,,"50,000",List rate,16.811
,ARS,"50,001","250,000",Tier rate,13.7677
,ARS,"250,001","1,000,000",Tier rate,11.8837
,ARS,"1,000,001","2,500,000",Tier rate,10.1446
,ARS,"2,500,001","5,000,000",Tier rate,6.9562
,ARS,"5,000,001",--,Tier rate,6.8113
Rest of Middle East,ARS,,"50,000",List rate,18.4051
,ARS,"50,001","250,000",Tier rate,15.5067
,ARS,"250,001","1,000,000",Tier rate,13.043
,ARS,"1,000,001","2,500,000",Tier rate,9.8546
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,7.2461
Rest of Western Europe,ARS,,"50,000",List rate,14.927
,ARS,"50,001","250,000",Tier rate,12.1734
,ARS,"250,001","1,000,000",Tier rate,10.7243
,ARS,"1,000,001","2,500,000",Tier rate,8.9852
,ARS,"2,500,001","5,000,000",Tier rate,7.9707
,ARS,"5,000,001",--,Tier rate,6.8113
Other,ARS,,"50,000",List rate,19.1298
,ARS,"50,001","250,000",Tier rate,16.3763
,ARS,"250,001","1,000,000",Tier rate,13.9125
,ARS,"1,000,001","2,500,000",Tier rate,12.0286
,ARS,"2,500,001","5,000,000",Tier rate,11.0142
,ARS,"5,000,001",--,Tier rate,10.4343
