"Cost per minute in AUD on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,A$,,"50,000",List rate,0.0131
,A$,"50,001","250,000",Tier rate,0.0109
,A$,"250,001","1,000,000",Tier rate,0.0095
,A$,"1,000,001","2,500,000",Tier rate,0.0082
,A$,"2,500,001","5,000,000",Tier rate,0.0067
,A$,"5,000,001",--,Tier rate,0.0060
Brazil,A$,,"50,000",List rate,0.0140
,A$,"50,001","250,000",Tier rate,0.0088
,A$,"250,001","1,000,000",Tier rate,0.0057
,A$,"1,000,001","2,500,000",Tier rate,0.0044
,A$,"2,500,001","5,000,000",Tier rate,0.0026
,A$,"5,000,001",--,Tier rate,0.0023
Chile,A$,,"50,000",List rate,0.0157
,A$,"50,001","250,000",Tier rate,0.0127
,A$,"250,001","1,000,000",Tier rate,0.0112
,A$,"1,000,001","2,500,000",Tier rate,0.0096
,A$,"2,500,001","5,000,000",Tier rate,0.0086
,A$,"5,000,001",--,Tier rate,0.0071
Colombia,A$,,"50,000",List rate,0.0144
,A$,"50,001","250,000",Tier rate,0.0118
,A$,"250,001","1,000,000",Tier rate,0.0104
,A$,"1,000,001","2,500,000",Tier rate,0.0084
,A$,"2,500,001","5,000,000",Tier rate,0.0052
,A$,"5,000,001",--,Tier rate,0.0051
Egypt,A$,,"50,000",List rate,0.0165
,A$,"50,001","250,000",Tier rate,0.0139
,A$,"250,001","1,000,000",Tier rate,0.0117
,A$,"1,000,001","2,500,000",Tier rate,0.0088
,A$,"2,500,001","5,000,000",Tier rate,0.0071
,A$,"5,000,001",--,Tier rate,0.0065
France,A$,,"50,000",List rate,0.0129
,A$,"50,001","250,000",Tier rate,0.0107
,A$,"250,001","1,000,000",Tier rate,0.0093
,A$,"1,000,001","2,500,000",Tier rate,0.0077
,A$,"2,500,001","5,000,000",Tier rate,0.0068
,A$,"5,000,001",--,Tier rate,0.0061
Germany,A$,,"50,000",List rate,0.0134
,A$,"50,001","250,000",Tier rate,0.0109
,A$,"250,001","1,000,000",Tier rate,0.0096
,A$,"1,000,001","2,500,000",Tier rate,0.0081
,A$,"2,500,001","5,000,000",Tier rate,0.0061
,A$,"5,000,001",--,Tier rate,0.0055
India,A$,,"50,000",List rate,0.0069
,A$,"50,001","250,000",Tier rate,0.0049
,A$,"250,001","1,000,000",Tier rate,0.0031
,A$,"1,000,001","2,500,000",Tier rate,0.0023
,A$,"2,500,001","5,000,000",Tier rate,0.0016
,A$,"5,000,001",--,Tier rate,0.0010
Indonesia,A$,,"50,000",List rate,0.0315
,A$,"50,001","250,000",Tier rate,0.0273
,A$,"250,001","1,000,000",Tier rate,0.0256
,A$,"1,000,001","2,500,000",Tier rate,0.0238
,A$,"2,500,001","5,000,000",Tier rate,0.0203
,A$,"5,000,001",--,Tier rate,0.0186
Israel,A$,,"50,000",List rate,0.0165
,A$,"50,001","250,000",Tier rate,0.0139
,A$,"250,001","1,000,000",Tier rate,0.0120
,A$,"1,000,001","2,500,000",Tier rate,0.0084
,A$,"2,500,001","5,000,000",Tier rate,0.0070
,A$,"5,000,001",--,Tier rate,0.0062
Italy,A$,,"50,000",List rate,0.0157
,A$,"50,001","250,000",Tier rate,0.0139
,A$,"250,001","1,000,000",Tier rate,0.0123
,A$,"1,000,001","2,500,000",Tier rate,0.0108
,A$,"2,500,001","5,000,000",Tier rate,0.0099
,A$,"5,000,001",--,Tier rate,0.0090
Malaysia,A$,,"50,000",List rate,0.0140
,A$,"50,001","250,000",Tier rate,0.0122
,A$,"250,001","1,000,000",Tier rate,0.0092
,A$,"1,000,001","2,500,000",Tier rate,0.0089
,A$,"2,500,001","5,000,000",Tier rate,0.0076
,A$,"5,000,001",--,Tier rate,0.0069
Mexico,A$,,"50,000",List rate,0.0122
,A$,"50,001","250,000",Tier rate,0.0104
,A$,"250,001","1,000,000",Tier rate,0.0091
,A$,"1,000,001","2,500,000",Tier rate,0.0070
,A$,"2,500,001","5,000,000",Tier rate,0.0055
,A$,"5,000,001",--,Tier rate,0.0049
Netherlands,A$,,"50,000",List rate,0.0082
,A$,"50,001","250,000",Tier rate,0.0068
,A$,"250,001","1,000,000",Tier rate,0.0056
,A$,"1,000,001","2,500,000",Tier rate,0.0044
,A$,"2,500,001","5,000,000",Tier rate,0.0033
,A$,"5,000,001",--,Tier rate,0.0030
Nigeria,A$,,"50,000",List rate,0.0134
,A$,"50,001","250,000",Tier rate,0.0109
,A$,"250,001","1,000,000",Tier rate,0.0096
,A$,"1,000,001","2,500,000",Tier rate,0.0090
,A$,"2,500,001","5,000,000",Tier rate,0.0072
,A$,"5,000,001",--,Tier rate,0.0069
Pakistan,A$,,"50,000",List rate,0.0155
,A$,"50,001","250,000",Tier rate,0.0120
,A$,"250,001","1,000,000",Tier rate,0.0107
,A$,"1,000,001","2,500,000",Tier rate,0.0098
,A$,"2,500,001","5,000,000",Tier rate,0.0092
,A$,"5,000,001",--,Tier rate,0.0087
Peru,A$,,"50,000",List rate,0.0157
,A$,"50,001","250,000",Tier rate,0.0127
,A$,"250,001","1,000,000",Tier rate,0.0112
,A$,"1,000,001","2,500,000",Tier rate,0.0096
,A$,"2,500,001","5,000,000",Tier rate,0.0083
,A$,"5,000,001",--,Tier rate,0.0077
Russia,A$,,"50,000",List rate,0.0126
,A$,"50,001","250,000",Tier rate,0.0107
,A$,"250,001","1,000,000",Tier rate,0.0092
,A$,"1,000,001","2,500,000",Tier rate,0.0075
,A$,"2,500,001","5,000,000",Tier rate,0.0056
,A$,"5,000,001",--,Tier rate,0.0052
Saudi Arabia,A$,,"50,000",List rate,0.0165
,A$,"50,001","250,000",Tier rate,0.0139
,A$,"250,001","1,000,000",Tier rate,0.0117
,A$,"1,000,001","2,500,000",Tier rate,0.0088
,A$,"2,500,001","5,000,000",Tier rate,0.0071
,A$,"5,000,001",--,Tier rate,0.0065
South Africa,A$,,"50,000",List rate,0.0140
,A$,"50,001","250,000",Tier rate,0.0101
,A$,"250,001","1,000,000",Tier rate,0.0076
,A$,"1,000,001","2,500,000",Tier rate,0.0057
,A$,"2,500,001","5,000,000",Tier rate,0.0053
,A$,"5,000,001",--,Tier rate,0.0049
Spain,A$,,"50,000",List rate,0.0168
,A$,"50,001","250,000",Tier rate,0.0147
,A$,"250,001","1,000,000",Tier rate,0.0132
,A$,"1,000,001","2,500,000",Tier rate,0.0111
,A$,"2,500,001","5,000,000",Tier rate,0.0090
,A$,"5,000,001",--,Tier rate,0.0079
Turkey,A$,,"50,000",List rate,0.0140
,A$,"50,001","250,000",Tier rate,0.0113
,A$,"250,001","1,000,000",Tier rate,0.0100
,A$,"1,000,001","2,500,000",Tier rate,0.0084
,A$,"2,500,001","5,000,000",Tier rate,0.0062
,A$,"5,000,001",--,Tier rate,0.0054
United Arab Emirates,A$,,"50,000",List rate,0.0165
,A$,"50,001","250,000",Tier rate,0.0139
,A$,"250,001","1,000,000",Tier rate,0.0117
,A$,"1,000,001","2,500,000",Tier rate,0.0088
,A$,"2,500,001","5,000,000",Tier rate,0.0071
,A$,"5,000,001",--,Tier rate,0.0065
United Kingdom,A$,,"50,000",List rate,0.0129
,A$,"50,001","250,000",Tier rate,0.0112
,A$,"250,001","1,000,000",Tier rate,0.0098
,A$,"1,000,001","2,500,000",Tier rate,0.0074
,A$,"2,500,001","5,000,000",Tier rate,0.0055
,A$,"5,000,001",--,Tier rate,0.0047
North America,A$,,"50,000",List rate,0.0157
,A$,"50,001","250,000",Tier rate,0.0131
,A$,"250,001","1,000,000",Tier rate,0.0117
,A$,"1,000,001","2,500,000",Tier rate,0.0084
,A$,"2,500,001","5,000,000",Tier rate,0.0056
,A$,"5,000,001",--,Tier rate,0.0054
Rest of Africa,A$,,"50,000",List rate,0.0134
,A$,"50,001","250,000",Tier rate,0.0109
,A$,"250,001","1,000,000",Tier rate,0.0096
,A$,"1,000,001","2,500,000",Tier rate,0.0081
,A$,"2,500,001","5,000,000",Tier rate,0.0061
,A$,"5,000,001",--,Tier rate,0.0055
Rest of Asia Pacific,A$,,"50,000",List rate,0.0148
,A$,"50,001","250,000",Tier rate,0.0122
,A$,"250,001","1,000,000",Tier rate,0.0105
,A$,"1,000,001","2,500,000",Tier rate,0.0090
,A$,"2,500,001","5,000,000",Tier rate,0.0068
,A$,"5,000,001",--,Tier rate,0.0057
Rest of Central & Eastern Europe,A$,,"50,000",List rate,0.0124
,A$,"50,001","250,000",Tier rate,0.0099
