"Cost per minute in CLP on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,CLP,,"50,000",List rate,8.9175
,CLP,"50,001","250,000",Tier rate,7.4165
,CLP,"250,001","1,000,000",Tier rate,6.4453
,CLP,"1,000,001","2,500,000",Tier rate,5.5624
,CLP,"2,500,001","5,000,000",Tier rate,4.5912
,CLP,"5,000,001",--,Tier rate,4.0615
Brazil,CLP,,"50,000",List rate,9.5356
,CLP,"50,001","250,000",Tier rate,6.0039
,CLP,"250,001","1,000,000",Tier rate,3.8849
,CLP,"1,000,001","2,500,000",Tier rate,3.0019
,CLP,"2,500,001","5,000,000",Tier rate,1.7659
,CLP,"5,000,001",--,Tier rate,1.5893
Chile,CLP,,"50,000",List rate,10.6833
,CLP,"50,001","250,000",Tier rate,8.6526
,CLP,"250,001","1,000,000",Tier rate,7.593
,CLP,"1,000,001","2,500,000",Tier rate,6.5336
,CLP,"2,500,001","5,000,000",Tier rate,5.8272
,CLP,"5,000,001",--,Tier rate,4.8561
Colombia,CLP,,"50,000",List rate,9.8004
,CLP,"50,001","250,000",Tier rate,8.0346
,CLP,"250,001","1,000,000",Tier rate,7.0633
,CLP,"1,000,001","2,500,000",Tier rate,5.739
,CLP,"2,500,001","5,000,000",Tier rate,3.5317
,CLP,"5,000,001",--,Tier rate,3.4435
Egypt,CLP,,"50,000",List rate,11.2131
,CLP,"50,001","250,000",Tier rate,9.4473
,CLP,"250,001","1,000,000",Tier rate,7.9463
,CLP,"1,000,001","2,500,000",Tier rate,6.0038
,CLP,"2,500,001","5,000,000",Tier rate,4.8561
,CLP,"5,000,001",--,Tier rate,4.4146
France,CLP,,"50,000",List rate,8.7409
,CLP,"50,001","250,000",Tier rate,7.2399
,CLP,"250,001","1,000,000",Tier rate,6.2687
,CLP,"1,000,001","2,500,000",Tier rate,5.2092
,CLP,"2,500,001","5,000,000",Tier rate,4.5912
,CLP,"5,000,001",--,Tier rate,4.1497
Germany,CLP,,"50,000",List rate,9.0941
,CLP,"50,001","250,000",Tier rate,7.4165
,CLP,"250,001","1,000,000",Tier rate,6.5337
,CLP,"1,000,001","2,500,000",Tier rate,5.4741
,CLP,"2,500,001","5,000,000",Tier rate,4.1497
,CLP,"5,000,001",--,Tier rate,3.7083
India,CLP,,"50,000",List rate,4.6795
,CLP,"50,001","250,000",Tier rate,3.3551
,CLP,"250,001","1,000,000",Tier rate,2.119
,CLP,"1,000,001","2,500,000",Tier rate,1.5893
,CLP,"2,500,001","5,000,000",Tier rate,1.0595
,CLP,"5,000,001",--,Tier rate,0.7063
Indonesia,CLP,,"50,000",List rate,21.3667
,CLP,"50,001","250,000",Tier rate,18.5414
,CLP,"250,001","1,000,000",Tier rate,17.3936
,CLP,"1,000,001","2,500,000",Tier rate,16.1575
,CLP,"2,500,001","5,000,000",Tier rate,13.7736
,CLP,"5,000,001",--,Tier rate,12.6258
Israel,CLP,,"50,000",List rate,11.2131
,CLP,"50,001","250,000",Tier rate,9.4473
,CLP,"250,001","1,000,000",Tier rate,8.1229
,CLP,"1,000,001","2,500,000",Tier rate,5.739
,CLP,"2,500,001","5,000,000",Tier rate,4.7678
,CLP,"5,000,001",--,Tier rate,4.238
Italy,CLP,,"50,000",List rate,10.6833
,CLP,"50,001","250,000",Tier rate,9.4472
,CLP,"250,001","1,000,000",Tier rate,8.3877
,CLP,"1,000,001","2,500,000",Tier rate,7.3282
,CLP,"2,500,001","5,000,000",Tier rate,6.7102
,CLP,"5,000,001",--,Tier rate,6.0922
Malaysia,CLP,,"50,000",List rate,9.5356
,CLP,"50,001","250,000",Tier rate,8.2995
,CLP,"250,001","1,000,000",Tier rate,6.2688
,CLP,"1,000,001","2,500,000",Tier rate,6.0922
,CLP,"2,500,001","5,000,000",Tier rate,5.2093
,CLP,"5,000,001",--,Tier rate,4.6795
Mexico,CLP,,"50,000",List rate,8.2995
,CLP,"50,001","250,000",Tier rate,7.0634
,CLP,"250,001","1,000,000",Tier rate,6.1805
,CLP,"1,000,001","2,500,000",Tier rate,4.7678
,CLP,"2,500,001","5,000,000",Tier rate,3.7083
,CLP,"5,000,001",--,Tier rate,3.3552
Netherlands,CLP,,"50,000",List rate,5.5624
,CLP,"50,001","250,000",Tier rate,4.5912
,CLP,"250,001","1,000,000",Tier rate,3.7966
,CLP,"1,000,001","2,500,000",Tier rate,3.0019
,CLP,"2,500,001","5,000,000",Tier rate,2.2073
,CLP,"5,000,001",--,Tier rate,2.0307
Nigeria,CLP,,"50,000",List rate,9.0941
,CLP,"50,001","250,000",Tier rate,7.4165
,CLP,"250,001","1,000,000",Tier rate,6.5337
