"Cost per minute in COP on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,COP,,"50,000",List rate,37.1863
,COP,"50,001","250,000",Tier rate,30.9271
,COP,"250,001","1,000,000",Tier rate,26.8771
,COP,"1,000,001","2,500,000",Tier rate,23.1953
,COP,"2,500,001","5,000,000",Tier rate,19.1454
,COP,"5,000,001",--,Tier rate,16.9365
Brazil,COP,,"50,000",List rate,39.7636
,COP,"50,001","250,000",Tier rate,25.0364
,COP,"250,001","1,000,000",Tier rate,16.2001
,COP,"1,000,001","2,500,000",Tier rate,12.518
,COP,"2,500,001","5,000,000",Tier rate,7.3638
,COP,"5,000,001",--,Tier rate,6.6274
Chile,COP,,"50,000",List rate,44.5499
,COP,"50,001","250,000",Tier rate,36.0819
,COP,"250,001","1,000,000",Tier rate,31.6634
,COP,"1,000,001","2,500,000",Tier rate,27.2454
,COP,"2,500,001","5,000,000",Tier rate,24.2997
,COP,"5,000,001",--,Tier rate,20.2502
Colombia,COP,,"50,000",List rate,40.8681
,COP,"50,001","250,000",Tier rate,33.5045
,COP,"250,001","1,000,000",Tier rate,29.4545
,COP,"1,000,001","2,500,000",Tier rate,23.932
,COP,"2,500,001","5,000,000",Tier rate,14.7272
,COP,"5,000,001",--,Tier rate,14.3594
Egypt,COP,,"50,000",List rate,46.759
,COP,"50,001","250,000",Tier rate,39.3954
,COP,"250,001","1,000,000",Tier rate,33.1362
,COP,"1,000,001","2,500,000",Tier rate,25.0362
,COP,"2,500,001","5,000,000",Tier rate,20.2499
,COP,"5,000,001",--,Tier rate,18.409
France,COP,,"50,000",List rate,36.45
,COP,"50,001","250,000",Tier rate,30.1908
,COP,"250,001","1,000,000",Tier rate,26.1408
,COP,"1,000,001","2,500,000",Tier rate,21.7227
,COP,"2,500,001","5,000,000",Tier rate,19.1454
,COP,"5,000,001",--,Tier rate,17.3046
Germany,COP,,"50,000",List rate,37.9227
,COP,"50,001","250,000",Tier rate,30.9271
,COP,"250,001","1,000,000",Tier rate,27.2456
,COP,"1,000,001","2,500,000",Tier rate,22.8272
,COP,"2,500,001","5,000,000",Tier rate,17.3045
,COP,"5,000,001",--,Tier rate,15.4637
India,COP,,"50,000",List rate,19.5136
,COP,"50,001","250,000",Tier rate,13.9909
,COP,"250,001","1,000,000",Tier rate,8.8363
,COP,"1,000,001","2,500,000",Tier rate,6.6272
,COP,"2,500,001","5,000,000",Tier rate,4.4183
,COP,"5,000,001",--,Tier rate,2.9454
Indonesia,COP,,"50,000",List rate,89.0999
,COP,"50,001","250,000",Tier rate,77.3182
,COP,"250,001","1,000,000",Tier rate,72.5318
,COP,"1,000,001","2,500,000",Tier rate,67.3773
,COP,"2,500,001","5,000,000",Tier rate,57.4365
,COP,"5,000,001",--,Tier rate,52.65
Israel,COP,,"50,000",List rate,46.759
,COP,"50,001","250,000",Tier rate,39.3954
,COP,"250,001","1,000,000",Tier rate,33.8727
,COP,"1,000,001","2,500,000",Tier rate,23.9317
,COP,"2,500,001","5,000,000",Tier rate,19.8819
,COP,"5,000,001",--,Tier rate,17.6726
Italy,COP,,"50,000",List rate,44.5499
,COP,"50,001","250,000",Tier rate,39.3955
,COP,"250,001","1,000,000",Tier rate,34.977
,COP,"1,000,001","2,500,000",Tier rate,30.559
,COP,"2,500,001","5,000,000",Tier rate,27.9818
,COP,"5,000,001",--,Tier rate,25.4046
Malaysia,COP,,"50,000",List rate,39.7636
,COP,"50,001","250,000",Tier rate,34.609
,COP,"250,001","1,000,000",Tier rate,26.141
,COP,"1,000,001","2,500,000",Tier rate,25.4046
,COP,"2,500,001","5,000,000",Tier rate,21.7229
,COP,"5,000,001",--,Tier rate,19.5136
Mexico,COP,,"50,000",List rate,34.609
,COP,"50,001","250,000",Tier rate,29.4543
,COP,"250,001","1,000,000",Tier rate,25.7726
,COP,"1,000,001","2,500,000",Tier rate,19.8818
,COP,"2,500,001","5,000,000",Tier rate,15.4636
,COP,"5,000,001",--,Tier rate,13.991
Netherlands,COP,,"50,000",List rate,23.1954
,COP,"50,001","250,000",Tier rate,19.1455
,COP,"250,001","1,000,000",Tier rate,15.8318
,COP,"1,000,001","2,500,000",Tier rate,12.5181
,COP,"2,500,001","5,000,000",Tier rate,9.2046
,COP,"5,000,001",--,Tier rate,8.4682
Nigeria,COP,,"50,000",List rate,37.9227
,COP,"50,001","250,000",Tier rate,30.9271
,COP,"250,001","1,000,000",Tier rate,27.2456
,COP,"1,000,001","2,500,000",Tier rate,25.4044
,COP,"2,500,001","5,000,000",Tier rate,20.25
,COP,"5,000,001",--,Tier rate,19.5135
Pakistan,COP,,"50,000",List rate,43.8136
,COP,"50,001","250,000",Tier rate,33.8727
,COP,"250,001","1,000,000",Tier rate,30.1911
,COP,"1,000,001","2,500,000",Tier rate,27.6135
,COP,"2,500,001","5,000,000",Tier rate,26.1409
,COP,"5,000,001",--,Tier rate,24.6684
Peru,COP,,"50,000",List rate,44.5499
,COP,"50,001","250,000",Tier rate,36.0819
,COP,"250,001","1,000,000",Tier rate,31.6634
,COP,"1,000,001","2,500,000",Tier rate,27.2454
,COP,"2,500,001","5,000,000",Tier rate,23.5638
,COP,"5,000,001",--,Tier rate,21.7225
Russia,COP,,"50,000",List rate,35.7136
,COP,"50,001","250,000",Tier rate,30.1908
,COP,"250,001","1,000,000",Tier rate,26.1409
,COP,"1,000,001","2,500,000",Tier rate,21.3546
,COP,"2,500,001","5,000,000",Tier rate,15.8318
,COP,"5,000,001",--,Tier rate,14.7272
Saudi Arabia,COP,,"50,000",List rate,46.759
