"Cost per minute in EUR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,€,,"50,000",List rate,0.0084
,€,"50,001","250,000",Tier rate,0.007
,€,"250,001","1,000,000",Tier rate,0.0061
,€,"1,000,001","2,500,000",Tier rate,0.0052
,€,"2,500,001","5,000,000",Tier rate,0.0043
,€,"5,000,001",--,Tier rate,0.0038
Brazil,€,,"50,000",List rate,0.009
,€,"50,001","250,000",Tier rate,0.0057
,€,"250,001","1,000,000",Tier rate,0.0037
,€,"1,000,001","2,500,000",Tier rate,0.0028
,€,"2,500,001","5,000,000",Tier rate,0.0017
,€,"5,000,001",--,Tier rate,0.0015
Chile,€,,"50,000",List rate,0.01
,€,"50,001","250,000",Tier rate,0.0081
,€,"250,001","1,000,000",Tier rate,0.0071
,€,"1,000,001","2,500,000",Tier rate,0.0061
,€,"2,500,001","5,000,000",Tier rate,0.0055
,€,"5,000,001",--,Tier rate,0.0045
Colombia,€,,"50,000",List rate,0.0092
,€,"50,001","250,000",Tier rate,0.0075
,€,"250,001","1,000,000",Tier rate,0.0066
,€,"1,000,001","2,500,000",Tier rate,0.0054
,€,"2,500,001","5,000,000",Tier rate,0.0033
,€,"5,000,001",--,Tier rate,0.0032
Egypt,€,,"50,000",List rate,0.0105
,€,"50,001","250,000",Tier rate,0.0088
,€,"250,001","1,000,000",Tier rate,0.0074
,€,"1,000,001","2,500,000",Tier rate,0.0056
,€,"2,500,001","5,000,000",Tier rate,0.0045
,€,"5,000,001",--,Tier rate,0.0041
France,€,,"50,000",List rate,0.0082
,€,"50,001","250,000",Tier rate,0.0068
,€,"250,001","1,000,000",Tier rate,0.0059
,€,"1,000,001","2,500,000",Tier rate,0.0049
,€,"2,500,001","5,000,000",Tier rate,0.0043
,€,"5,000,001",--,Tier rate,0.0039
Germany,€,,"50,000",List rate,0.0085
,€,"50,001","250,000",Tier rate,0.0069
,€,"250,001","1,000,000",Tier rate,0.0061
,€,"1,000,001","2,500,000",Tier rate,0.0051
,€,"2,500,001","5,000,000",Tier rate,0.0039
,€,"5,000,001",--,Tier rate,0.0035
India,€,,"50,000",List rate,0.0044
,€,"50,001","250,000",Tier rate,0.0032
,€,"250,001","1,000,000",Tier rate,0.002
,€,"1,000,001","2,500,000",Tier rate,0.0015
,€,"2,500,001","5,000,000",Tier rate,0.001
,€,"5,000,001",--,Tier rate,0.0007
Indonesia,€,,"50,000",List rate,0.0201
,€,"50,001","250,000",Tier rate,0.0174
,€,"250,001","1,000,000",Tier rate,0.0164
,€,"1,000,001","2,500,000",Tier rate,0.0152
,€,"2,500,001","5,000,000",Tier rate,0.013
,€,"5,000,001",--,Tier rate,0.0119
Israel,€,,"50,000",List rate,0.0105
,€,"50,001","250,000",Tier rate,0.0088
,€,"250,001","1,000,000",Tier rate,0.0076
,€,"1,000,001","2,500,000",Tier rate,0.0054
,€,"2,500,001","5,000,000",Tier rate,0.0045
