"Cost per minute in GBP on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,£,,"50,000",List rate,0.0073
,£,"50,001","250,000",Tier rate,0.0061
,£,"250,001","1,000,000",Tier rate,0.0053
,£,"1,000,001","2,500,000",Tier rate,0.0046
,£,"2,500,001","5,000,000",Tier rate,0.0038
,£,"5,000,001",--,Tier rate,0.0033
Brazil,£,,"50,000",List rate,0.0078
,£,"50,001","250,000",Tier rate,0.0049
,£,"250,001","1,000,000",Tier rate,0.0032
,£,"1,000,001","2,500,000",Tier rate,0.0025
,£,"2,500,001","5,000,000",Tier rate,0.0014
,£,"5,000,001",--,Tier rate,0.0013
Chile,£,,"50,000",List rate,0.0087
,£,"50,001","250,000",Tier rate,0.007
,£,"250,001","1,000,000",Tier rate,0.0062
,£,"1,000,001","2,500,000",Tier rate,0.0053
,£,"2,500,001","5,000,000",Tier rate,0.0047
,£,"5,000,001",--,Tier rate,0.004
Colombia,£,,"50,000",List rate,0.008
,£,"50,001","250,000",Tier rate,0.0066
,£,"250,001","1,000,000",Tier rate,0.0058
,£,"1,000,001","2,500,000",Tier rate,0.0047
,£,"2,500,001","5,000,000",Tier rate,0.0029
,£,"5,000,001",--,Tier rate,0.0028
Egypt,£,,"50,000",List rate,0.0092
,£,"50,001","250,000",Tier rate,0.0078
,£,"250,001","1,000,000",Tier rate,0.0065
,£,"1,000,001","2,500,000",Tier rate,0.0049
,£,"2,500,001","5,000,000",Tier rate,0.004
,£,"5,000,001",--,Tier rate,0.0036
France,£,,"50,000",List rate,0.0071
,£,"50,001","250,000",Tier rate,0.0059
,£,"250,001","1,000,000",Tier rate,0.0051
,£,"1,000,001","2,500,000",Tier rate,0.0042
,£,"2,500,001","5,000,000",Tier rate,0.0037
,£,"5,000,001",--,Tier rate,0.0034
Germany,£,,"50,000",List rate,0.0074
,£,"50,001","250,000",Tier rate,0.006
,£,"250,001","1,000,000",Tier rate,0.0053
,£,"1,000,001","2,500,000",Tier rate,0.0045
,£,"2,500,001","5,000,000",Tier rate,0.0034
,£,"5,000,001",--,Tier rate,0.003
India,£,,"50,000",List rate,0.0038
,£,"50,001","250,000",Tier rate,0.0027
,£,"250,001","1,000,000",Tier rate,0.0017
,£,"1,000,001","2,500,000",Tier rate,0.0013
,£,"2,500,001","5,000,000",Tier rate,0.0009
,£,"5,000,001",--,Tier rate,0.0006
Indonesia,£,,"50,000",List rate,0.0175
,£,"50,001","250,000",Tier rate,0.0152
,£,"250,001","1,000,000",Tier rate,0.0142
,£,"1,000,001","2,500,000",Tier rate,0.0132
,£,"2,500,001","5,000,000",Tier rate,0.0113
,£,"5,000,001",--,Tier rate,0.0103
Israel,£,,"50,000",List rate,0.0092
,£,"50,001","250,000",Tier rate,0.0078
,£,"250,001","1,000,000",Tier rate,0.0067
,£,"1,000,001","2,500,000",Tier rate,0.0047
,£,"2,500,001","5,000,000",Tier rate,0.0039
,£,"5,000,001",--,Tier rate,0.0035
Italy,£,,"50,000",List rate,0.0087
,£,"50,001","250,000",Tier rate,0.0077
,£,"250,001","1,000,000",Tier rate,0.0068
,£,"1,000,001","2,500,000",Tier rate,0.006
,£,"2,500,001","5,000,000",Tier rate,0.0055
,£,"5,000,001",--,Tier rate,0.005
Malaysia,£,,"50,000",List rate,0.0078
,£,"50,001","250,000",Tier rate,0.0068
,£,"250,001","1,000,000",Tier rate,0.0051
,£,"1,000,001","2,500,000",Tier rate,0.005
,£,"2,500,001","5,000,000",Tier rate,0.0043
,£,"5,000,001",--,Tier rate,0.0038
Mexico,£,,"50,000",List rate,0.0068
,£,"50,001","250,000",Tier rate,0.0058
,£,"250,001","1,000,000",Tier rate,0.0051
,£,"1,000,001","2,500,000",Tier rate,0.0039
,£,"2,500,001","5,000,000",Tier rate,0.003
,£,"5,000,001",--,Tier rate,0.0027
Netherlands,£,,"50,000",List rate,0.0045
,£,"50,001","250,000",Tier rate,0.0037
,£,"250,001","1,000,000",Tier rate,0.0031
,£,"1,000,001","2,500,000",Tier rate,0.0024
,£,"2,500,001","5,000,000",Tier rate,0.0018
,£,"5,000,001",--,Tier rate,0.0016
Nigeria,£,,"50,000",List rate,0.0074
,£,"50,001","250,000",Tier rate,0.006
,£,"250,001","1,000,000",Tier rate,0.0053
,£,"1,000,001","2,500,000",Tier rate,0.005
,£,"2,500,001","5,000,000",Tier rate,0.004
,£,"5,000,001",--,Tier rate,0.0038
Pakistan,£,,"50,000",List rate,0.0086
,£,"50,001","250,000",Tier rate,0.0066
,£,"250,001","1,000,000",Tier rate,0.0059
,£,"1,000,001","2,500,000",Tier rate,0.0054
,£,"2,500,001","5,000,000",Tier rate,0.0051
,£,"5,000,001",--,Tier rate,0.0048
Peru,£,,"50,000",List rate,0.0087
,£,"50,001","250,000",Tier rate,0.007
,£,"250,001","1,000,000",Tier rate,0.0062
,£,"1,000,001","2,500,000",Tier rate,0.0053
,£,"2,500,001","5,000,000",Tier rate,0.0046
,£,"5,000,001",--,Tier rate,0.0042
Russia,£,,"50,000",List rate,0.007
,£,"50,001","250,000",Tier rate,0.0059
,£,"250,001","1,000,000",Tier rate,0.0051
,£,"1,000,001","2,500,000",Tier rate,0.0042
,£,"2,500,001","5,000,000",Tier rate,0.0031
,£,"5,000,001",--,Tier rate,0.0029
Saudi Arabia,£,,"50,000",List rate,0.0092
,£,"50,001","250,000",Tier rate,0.0078
,£,"250,001","1,000,000",Tier rate,0.0065
,£,"1,000,001","2,500,000",Tier rate,0.0049
,£,"2,500,001","5,000,000",Tier rate,0.004
,£,"5,000,001",--,Tier rate,0.0036
South Africa,£,,"50,000",List rate,0.0078
,£,"50,001","250,000",Tier rate,0.0056
,£,"250,001","1,000,000",Tier rate,0.0043
,£,"1,000,001","2,500,000",Tier rate,0.0032
,£,"2,500,001","5,000,000",Tier rate,0.003
,£,"5,000,001",--,Tier rate,0.0027
Spain,£,,"50,000",List rate,0.0093
,£,"50,001","250,000",Tier rate,0.0081
,£,"250,001","1,000,000",Tier rate,0.0073
,£,"1,000,001","2,500,000",Tier rate,0.0061
,£,"2,500,001","5,000,000",Tier rate,0.005
,£,"5,000,001",--,Tier rate,0.0044
Turkey,£,,"50,000",List rate,0.0078
,£,"50,001","250,000",Tier rate,0.0063
,£,"250,001","1,000,000",Tier rate,0.0056
,£,"1,000,001","2,500,000",Tier rate,0.0047
,£,"2,500,001","5,000,000",Tier rate,0.0035
,£,"5,000,001",--,Tier rate,0.003
United Arab Emirates,£,,"50,000",List rate,0.0092
,£,"50,001","250,000",Tier rate,0.0078
,£,"250,001","1,000,000",Tier rate,0.0065
,£,"1,000,001","2,500,000",Tier rate,0.0049
,£,"2,500,001","5,000,000",Tier rate,0.004
,£,"5,000,001",--,Tier rate,0.0036
United Kingdom,£,,"50,000",List rate,0.0071
,£,"50,001","250,000",Tier rate,0.0062
,£,"250,001","1,000,000",Tier rate,0.0054
,£,"1,000,001","2,500,000",Tier rate,0.0041
,£,"2,500,001","5,000,000",Tier rate,0.003
,£,"5,000,001",--,Tier rate,0.0026
North America,£,,"50,000",List rate,0.0087
,£,"50,001","250,000",Tier rate,0.0073
,£,"250,001","1,000,000",Tier rate,0.0065
,£,"1,000,001","2,500,000",Tier rate,0.0047
,£,"2,500,001","5,000,000",Tier rate,0.0031
,£,"5,000,001",--,Tier rate,0.003
Rest of Africa,£,,"50,000",List rate,0.0074
,£,"50,001","250,000",Tier rate,0.006
,£,"250,001","1,000,000",Tier rate,0.0053
,£,"1,000,001","2,500,000",Tier rate,0.0045
,£,"2,500,001","5,000,000",Tier rate,0.0034
,£,"5,000,001",--,Tier rate,0.003
Rest of Asia Pacific,£,,"50,000",List rate,0.0082
,£,"50,001","250,000",Tier rate,0.0068
,£,"250,001","1,000,000",Tier rate,0.0058
,£,"1,000,001","2,500,000",Tier rate,0.005
