"Cost per minute in IDR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,Rp,,"50,000",List rate,144.1
,Rp,"50,001","250,000",Tier rate,119.9
,Rp,"250,001","1,000,000",Tier rate,104.2
,Rp,"1,000,001","2,500,000",Tier rate,89.9
,Rp,"2,500,001","5,000,000",Tier rate,74.2
,Rp,"5,000,001",--,Tier rate,65.7
Brazil,Rp,,"50,000",List rate,154.1
,Rp,"50,001","250,000",Tier rate,97
,Rp,"250,001","1,000,000",Tier rate,62.8
,Rp,"1,000,001","2,500,000",Tier rate,48.5
,Rp,"2,500,001","5,000,000",Tier rate,28.5
,Rp,"5,000,001",--,Tier rate,25.7
Chile,Rp,,"50,000",List rate,172.7
,Rp,"50,001","250,000",Tier rate,139.9
,Rp,"250,001","1,000,000",Tier rate,122.7
,Rp,"1,000,001","2,500,000",Tier rate,105.6
,Rp,"2,500,001","5,000,000",Tier rate,94.2
,Rp,"5,000,001",--,Tier rate,78.5
Colombia,Rp,,"50,000",List rate,158.4
,Rp,"50,001","250,000",Tier rate,129.9
,Rp,"250,001","1,000,000",Tier rate,114.2
,Rp,"1,000,001","2,500,000",Tier rate,92.8
,Rp,"2,500,001","5,000,000",Tier rate,57.1
,Rp,"5,000,001",--,Tier rate,55.7
Egypt,Rp,,"50,000",List rate,181.3
,Rp,"50,001","250,000",Tier rate,152.7
,Rp,"250,001","1,000,000",Tier rate,128.4
,Rp,"1,000,001","2,500,000",Tier rate,97
,Rp,"2,500,001","5,000,000",Tier rate,78.5
,Rp,"5,000,001",--,Tier rate,71.4
France,Rp,,"50,000",List rate,141.3
,Rp,"50,001","250,000",Tier rate,117
,Rp,"250,001","1,000,000",Tier rate,101.3
,Rp,"1,000,001","2,500,000",Tier rate,84.2
,Rp,"2,500,001","5,000,000",Tier rate,74.2
,Rp,"5,000,001",--,Tier rate,67.1
Germany,Rp,,"50,000",List rate,147
,Rp,"50,001","250,000",Tier rate,119.9
,Rp,"250,001","1,000,000",Tier rate,105.6
,Rp,"1,000,001","2,500,000",Tier rate,88.5
,Rp,"2,500,001","5,000,000",Tier rate,67.1
