"Cost per minute in MXN on the WhatsApp Business Platform, effective January 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,MXN,,"50,000",List rate,0.1859
,MXN,"50,001","250,000",Tier rate,0.1546
,MXN,"250,001","1,000,000",Tier rate,0.1344
,MXN,"1,000,001","2,500,000",Tier rate,0.116
,MXN,"2,500,001","5,000,000",Tier rate,0.0957
,MXN,"5,000,001",--,Tier rate,0.0847
Brazil,MXN,,"50,000",List rate,0.1988
,MXN,"50,001","250,000",Tier rate,0.1252
,MXN,"250,001","1,000,000",Tier rate,0.081
,MXN,"1,000,001","2,500,000",Tier rate,0.0626
,MXN,"2,500,001","5,000,000",Tier rate,0.0368
,MXN,"5,000,001",--,Tier rate,0.0331
Chile,MXN,,"50,000",List rate,0.2227
,MXN,"50,001","250,000",Tier rate,0.1804
,MXN,"250,001","1,000,000",Tier rate,0.1583
,MXN,"1,000,001","2,500,000",Tier rate,0.1362
,MXN,"2,500,001","5,000,000",Tier rate,0.1215
,MXN,"5,000,001",--,Tier rate,0.1012
Colombia,MXN,,"50,000",List rate,0.2043
,MXN,"50,001","250,000",Tier rate,0.1675
,MXN,"250,001","1,000,000",Tier rate,0.1472
,MXN,"1,000,001","2,500,000",Tier rate,0.1196
,MXN,"2,500,001","5,000,000",Tier rate,0.0736
,MXN,"5,000,001",--,Tier rate,0.0718
Egypt,MXN,,"50,000",List rate,0.2338
,MXN,"50,001","250,000",Tier rate,0.197
,MXN,"250,001","1,000,000",Tier rate,0.1657
,MXN,"1,000,001","2,500,000",Tier rate,0.1252
,MXN,"2,500,001","5,000,000",Tier rate,0.1013
,MXN,"5,000,001",--,Tier rate,0.092
France,MXN,,"50,000",List rate,0.1822
,MXN,"50,001","250,000",Tier rate,0.1509
,MXN,"250,001","1,000,000",Tier rate,0.1307
,MXN,"1,000,001","2,500,000",Tier rate,0.1086
,MXN,"2,500,001","5,000,000",Tier rate,0.0957
,MXN,"5,000,001",--,Tier rate,0.0865
Germany,MXN,,"50,000",List rate,0.1896
,MXN,"50,001","250,000",Tier rate,0.1546
,MXN,"250,001","1,000,000",Tier rate,0.1362
,MXN,"1,000,001","2,500,000",Tier rate,0.1141
,MXN,"2,500,001","5,000,000",Tier rate,0.0865
,MXN,"5,000,001",--,Tier rate,0.0773
India,MXN,,"50,000",List rate,0.0976
,MXN,"50,001","250,000",Tier rate,0.07
,MXN,"250,001","1,000,000",Tier rate,0.0442
,MXN,"1,000,001","2,500,000",Tier rate,0.0331
,MXN,"2,500,001","5,000,000",Tier rate,0.0221
,MXN,"5,000,001",--,Tier rate,0.0147
Indonesia,MXN,,"50,000",List rate,0.4454
,MXN,"50,001","250,000",Tier rate,0.3865
,MXN,"250,001","1,000,000",Tier rate,0.3626
,MXN,"1,000,001","2,500,000",Tier rate,0.3368
,MXN,"2,500,001","5,000,000",Tier rate,0.2871
,MXN,"5,000,001",--,Tier rate,0.2632
Israel,MXN,,"50,000",List rate,0.2338
,MXN,"50,001","250,000",Tier rate,0.197
,MXN,"250,001","1,000,000",Tier rate,0.1694
,MXN,"1,000,001","2,500,000",Tier rate,0.1197
,MXN,"2,500,001","5,000,000",Tier rate,0.0994
,MXN,"5,000,001",--,Tier rate,0.0884
Italy,MXN,,"50,000",List rate,0.2227
,MXN,"50,001","250,000",Tier rate,0.1969
,MXN,"250,001","1,000,000",Tier rate,0.1748
,MXN,"1,000,001","2,500,000",Tier rate,0.1528
,MXN,"2,500,001","5,000,000",Tier rate,0.1399
,MXN,"5,000,001",--,Tier rate,0.127
Malaysia,MXN,,"50,000",List rate,0.1988
,MXN,"50,001","250,000",Tier rate,0.173
,MXN,"250,001","1,000,000",Tier rate,0.1307
,MXN,"1,000,001","2,500,000",Tier rate,0.127
,MXN,"2,500,001","5,000,000",Tier rate,0.1086
,MXN,"5,000,001",--,Tier rate,0.0976
Mexico,MXN,,"50,000",List rate,0.173
,MXN,"50,001","250,000",Tier rate,0.1472
,MXN,"250,001","1,000,000",Tier rate,0.1288
,MXN,"1,000,001","2,500,000",Tier rate,0.0994
,MXN,"2,500,001","5,000,000",Tier rate,0.0773
,MXN,"5,000,001",--,Tier rate,0.0699
Netherlands,MXN,,"50,000",List rate,0.116
,MXN,"50,001","250,000",Tier rate,0.0957
,MXN,"250,001","1,000,000",Tier rate,0.0792
,MXN,"1,000,001","2,500,000",Tier rate,0.0626
,MXN,"2,500,001","5,000,000",Tier rate,0.046
,MXN,"5,000,001",--,Tier rate,0.0423
Nigeria,MXN,,"50,000",List rate,0.1896
,MXN,"50,001","250,000",Tier rate,0.1546
,MXN,"250,001","1,000,000",Tier rate,0.1362
,MXN,"1,000,001","2,500,000",Tier rate,0.127
,MXN,"2,500,001","5,000,000",Tier rate,0.1012
,MXN,"5,000,001",--,Tier rate,0.0976
Pakistan,MXN,,"50,000",List rate,0.219
,MXN,"50,001","250,000",Tier rate,0.1693
,MXN,"250,001","1,000,000",Tier rate,0.1509
,MXN,"1,000,001","2,500,000",Tier rate,0.138
,MXN,"2,500,001","5,000,000",Tier rate,0.1307
,MXN,"5,000,001",--,Tier rate,0.1233
Peru,MXN,,"50,000",List rate,0.2227
,MXN,"50,001","250,000",Tier rate,0.1804
,MXN,"250,001","1,000,000",Tier rate,0.1583
,MXN,"1,000,001","2,500,000",Tier rate,0.1362
,MXN,"2,500,001","5,000,000",Tier rate,0.1178
,MXN,"5,000,001",--,Tier rate,0.1086
Russia,MXN,,"50,000",List rate,0.1785
,MXN,"50,001","250,000",Tier rate,0.1509
,MXN,"250,001","1,000,000",Tier rate,0.1307
,MXN,"1,000,001","2,500,000",Tier rate,0.1067
,MXN,"2,500,001","5,000,000",Tier rate,0.0791
,MXN,"5,000,001",--,Tier rate,0.0736
Saudi Arabia,MXN,,"50,000",List rate,0.2338
,MXN,"50,001","250,000",Tier rate,0.197
