"Cost per minute in PEN on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,PEN,,"50,000",List rate,0.0336
,PEN,"50,001","250,000",Tier rate,0.0279
,PEN,"250,001","1,000,000",Tier rate,0.0243
,PEN,"1,000,001","2,500,000",Tier rate,0.021
,PEN,"2,500,001","5,000,000",Tier rate,0.0173
,PEN,"5,000,001",--,Tier rate,0.0153
Brazil,PEN,,"50,000",List rate,0.0359
,PEN,"50,001","250,000",Tier rate,0.0226
,PEN,"250,001","1,000,000",Tier rate,0.0146
,PEN,"1,000,001","2,500,000",Tier rate,0.0113
,PEN,"2,500,001","5,000,000",Tier rate,0.0066
,PEN,"5,000,001",--,Tier rate,0.006
Chile,PEN,,"50,000",List rate,0.0403
,PEN,"50,001","250,000",Tier rate,0.0326
,PEN,"250,001","1,000,000",Tier rate,0.0286
,PEN,"1,000,001","2,500,000",Tier rate,0.0246
,PEN,"2,500,001","5,000,000",Tier rate,0.022
,PEN,"5,000,001",--,Tier rate,0.0183
Colombia,PEN,,"50,000",List rate,0.0369
,PEN,"50,001","250,000",Tier rate,0.0303
,PEN,"250,001","1,000,000",Tier rate,0.0266
,PEN,"1,000,001","2,500,000",Tier rate,0.0216
,PEN,"2,500,001","5,000,000",Tier rate,0.0133
,PEN,"5,000,001",--,Tier rate,0.013
Egypt,PEN,,"50,000",List rate,0.0423
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.03
,PEN,"1,000,001","2,500,000",Tier rate,0.0226
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0167
France,PEN,,"50,000",List rate,0.0329
,PEN,"50,001","250,000",Tier rate,0.0273
,PEN,"250,001","1,000,000",Tier rate,0.0236
,PEN,"1,000,001","2,500,000",Tier rate,0.0196
,PEN,"2,500,001","5,000,000",Tier rate,0.0173
,PEN,"5,000,001",--,Tier rate,0.0156
Germany,PEN,,"50,000",List rate,0.0343
,PEN,"50,001","250,000",Tier rate,0.028
,PEN,"250,001","1,000,000",Tier rate,0.0246
,PEN,"1,000,001","2,500,000",Tier rate,0.0206
,PEN,"2,500,001","5,000,000",Tier rate,0.0157
,PEN,"5,000,001",--,Tier rate,0.014
India,PEN,,"50,000",List rate,0.0176
,PEN,"50,001","250,000",Tier rate,0.0126
,PEN,"250,001","1,000,000",Tier rate,0.008
,PEN,"1,000,001","2,500,000",Tier rate,0.006
,PEN,"2,500,001","5,000,000",Tier rate,0.004
,PEN,"5,000,001",--,Tier rate,0.0027
Indonesia,PEN,,"50,000",List rate,0.0805
,PEN,"50,001","250,000",Tier rate,0.0699
,PEN,"250,001","1,000,000",Tier rate,0.0655
,PEN,"1,000,001","2,500,000",Tier rate,0.0609
,PEN,"2,500,001","5,000,000",Tier rate,0.0519
,PEN,"5,000,001",--,Tier rate,0.0476
Israel,PEN,,"50,000",List rate,0.0423
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.0306
,PEN,"1,000,001","2,500,000",Tier rate,0.0216
,PEN,"2,500,001","5,000,000",Tier rate,0.018
,PEN,"5,000,001",--,Tier rate,0.016
Italy,PEN,,"50,000",List rate,0.0403
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.0316
,PEN,"1,000,001","2,500,000",Tier rate,0.0276
,PEN,"2,500,001","5,000,000",Tier rate,0.0253
,PEN,"5,000,001",--,Tier rate,0.023
Malaysia,PEN,,"50,000",List rate,0.0359
,PEN,"50,001","250,000",Tier rate,0.0312
,PEN,"250,001","1,000,000",Tier rate,0.0236
,PEN,"1,000,001","2,500,000",Tier rate,0.0229
,PEN,"2,500,001","5,000,000",Tier rate,0.0196
,PEN,"5,000,001",--,Tier rate,0.0176
Mexico,PEN,,"50,000",List rate,0.0313
,PEN,"50,001","250,000",Tier rate,0.0266
,PEN,"250,001","1,000,000",Tier rate,0.0233
,PEN,"1,000,001","2,500,000",Tier rate,0.018
,PEN,"2,500,001","5,000,000",Tier rate,0.014
,PEN,"5,000,001",--,Tier rate,0.0127
Netherlands,PEN,,"50,000",List rate,0.021
,PEN,"50,001","250,000",Tier rate,0.0173
,PEN,"250,001","1,000,000",Tier rate,0.0143
,PEN,"1,000,001","2,500,000",Tier rate,0.0113
,PEN,"2,500,001","5,000,000",Tier rate,0.0083
,PEN,"5,000,001",--,Tier rate,0.0077
Nigeria,PEN,,"50,000",List rate,0.0343
,PEN,"50,001","250,000",Tier rate,0.028
,PEN,"250,001","1,000,000",Tier rate,0.0246
,PEN,"1,000,001","2,500,000",Tier rate,0.023
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0176
Pakistan,PEN,,"50,000",List rate,0.0396
,PEN,"50,001","250,000",Tier rate,0.0306
,PEN,"250,001","1,000,000",Tier rate,0.0273
,PEN,"1,000,001","2,500,000",Tier rate,0.025
,PEN,"2,500,001","5,000,000",Tier rate,0.0236
,PEN,"5,000,001",--,Tier rate,0.0223
Peru,PEN,,"50,000",List rate,0.0403
,PEN,"50,001","250,000",Tier rate,0.0326
,PEN,"250,001","1,000,000",Tier rate,0.0286
,PEN,"1,000,001","2,500,000",Tier rate,0.0246
,PEN,"2,500,001","5,000,000",Tier rate,0.0213
,PEN,"5,000,001",--,Tier rate,0.0197
Russia,PEN,,"50,000",List rate,0.0323
,PEN,"50,001","250,000",Tier rate,0.0273
,PEN,"250,001","1,000,000",Tier rate,0.0236
,PEN,"1,000,001","2,500,000",Tier rate,0.0193
,PEN,"2,500,001","5,000,000",Tier rate,0.0143
,PEN,"5,000,001",--,Tier rate,0.0133
Saudi Arabia,PEN,,"50,000",List rate,0.0423
,PEN,"50,001","250,000",Tier rate,0.0356
,PEN,"250,001","1,000,000",Tier rate,0.03
,PEN,"1,000,001","2,500,000",Tier rate,0.0226
,PEN,"2,500,001","5,000,000",Tier rate,0.0183
,PEN,"5,000,001",--,Tier rate,0.0167
South Africa,PEN,,"50,000",List rate,0.0359
