"Cost per minute in SAR on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,SAR,,"50,000",List rate,0.0378
,SAR,"50,001","250,000",Tier rate,0.0314
,SAR,"250,001","1,000,000",Tier rate,0.0273
,SAR,"1,000,001","2,500,000",Tier rate,0.0236
,SAR,"2,500,001","5,000,000",Tier rate,0.0195
,SAR,"5,000,001",--,Tier rate,0.0172
Brazil,SAR,,"50,000",List rate,0.0405
,SAR,"50,001","250,000",Tier rate,0.0255
,SAR,"250,001","1,000,000",Tier rate,0.0165
,SAR,"1,000,001","2,500,000",Tier rate,0.0127
,SAR,"2,500,001","5,000,000",Tier rate,0.0075
,SAR,"5,000,001",--,Tier rate,0.0068
Chile,SAR,,"50,000",List rate,0.0453
,SAR,"50,001","250,000",Tier rate,0.0367
,SAR,"250,001","1,000,000",Tier rate,0.0322
,SAR,"1,000,001","2,500,000",Tier rate,0.0277
,SAR,"2,500,001","5,000,000",Tier rate,0.0247
,SAR,"5,000,001",--,Tier rate,0.0206
Colombia,SAR,,"50,000",List rate,0.0416
,SAR,"50,001","250,000",Tier rate,0.0341
,SAR,"250,001","1,000,000",Tier rate,0.03
,SAR,"1,000,001","2,500,000",Tier rate,0.0244
,SAR,"2,500,001","5,000,000",Tier rate,0.015
,SAR,"5,000,001",--,Tier rate,0.0146
Egypt,SAR,,"50,000",List rate,0.0476
,SAR,"50,001","250,000",Tier rate,0.0401
,SAR,"250,001","1,000,000",Tier rate,0.0337
,SAR,"1,000,001","2,500,000",Tier rate,0.0255
,SAR,"2,500,001","5,000,000",Tier rate,0.0206
,SAR,"5,000,001",--,Tier rate,0.0187
France,SAR,,"50,000",List rate,0.0371
,SAR,"50,001","250,000",Tier rate,0.0307
,SAR,"250,001","1,000,000",Tier rate,0.0266
,SAR,"1,000,001","2,500,000",Tier rate,0.0221
,SAR,"2,500,001","5,000,000",Tier rate,0.0195
,SAR,"5,000,001",--,Tier rate,0.0176
Germany,SAR,,"50,000",List rate,0.0386
,SAR,"50,001","250,000",Tier rate,0.0315
,SAR,"250,001","1,000,000",Tier rate,0.0277
,SAR,"1,000,001","2,500,000",Tier rate,0.0232
,SAR,"2,500,001","5,000,000",Tier rate,0.0176
,SAR,"5,000,001",--,Tier rate,0.0157
India,SAR,,"50,000",List rate,0.0199
,SAR,"50,001","250,000",Tier rate,0.0143
,SAR,"250,001","1,000,000",Tier rate,0.009
,SAR,"1,000,001","2,500,000",Tier rate,0.0068
,SAR,"2,500,001","5,000,000",Tier rate,0.0045
,SAR,"5,000,001",--,Tier rate,0.003
Indonesia,SAR,,"50,000",List rate,0.0907
,SAR,"50,001","250,000",Tier rate,0.0787
,SAR,"250,001","1,000,000",Tier rate,0.0738
,SAR,"1,000,001","2,500,000",Tier rate,0.0686
,SAR,"2,500,001","5,000,000",Tier rate,0.0585
,SAR,"5,000,001",--,Tier rate,0.0536
Israel,SAR,,"50,000",List rate,0.0476
,SAR,"50,001","250,000",Tier rate,0.0401
,SAR,"250,001","1,000,000",Tier rate,0.0345
