"Cost per minute in SGD on the WhatsApp Business Platform, effective April 1, 2026",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,SGD,,"50,000",List rate,0.0129
,SGD,"50,001","250,000",Tier rate,0.0107
,SGD,"250,001","1,000,000",Tier rate,0.0093
,SGD,"1,000,001","2,500,000",Tier rate,0.008
,SGD,"2,500,001","5,000,000",Tier rate,0.0066
,SGD,"5,000,001",--,Tier rate,0.0059
Brazil,SGD,,"50,000",List rate,0.0138
,SGD,"50,001","250,000",Tier rate,0.0087
,SGD,"250,001","1,000,000",Tier rate,0.0056
,SGD,"1,000,001","2,500,000",Tier rate,0.0043
,SGD,"2,500,001","5,000,000",Tier rate,0.0026
,SGD,"5,000,001",--,Tier rate,0.0023
Chile,SGD,,"50,000",List rate,0.0155
,SGD,"50,001","250,000",Tier rate,0.0126
,SGD,"250,001","1,000,000",Tier rate,0.011
,SGD,"1,000,001","2,500,000",Tier rate,0.0095
,SGD,"2,500,001","5,000,000",Tier rate,0.0085
,SGD,"5,000,001",--,Tier rate,0.007
Colombia,SGD,,"50,000",List rate,0.0142
,SGD,"50,001","250,000",Tier rate,0.0116
,SGD,"250,001","1,000,000",Tier rate,0.0102
,SGD,"1,000,001","2,500,000",Tier rate,0.0083
,SGD,"2,500,001","5,000,000",Tier rate,0.0051
,SGD,"5,000,001",--,Tier rate,0.005
Egypt,SGD,,"50,000",List rate,0.0163
,SGD,"50,001","250,000",Tier rate,0.0137
,SGD,"250,001","1,000,000",Tier rate,0.0116
,SGD,"1,000,001","2,500,000",Tier rate,0.0087
,SGD,"2,500,001","5,000,000",Tier rate,0.0071
,SGD,"5,000,001",--,Tier rate,0.0064
France,SGD,,"50,000",List rate,0.0127
,SGD,"50,001","250,000",Tier rate,0.0105
,SGD,"250,001","1,000,000",Tier rate,0.0091
,SGD,"1,000,001","2,500,000",Tier rate,0.0076
,SGD,"2,500,001","5,000,000",Tier rate,0.0067
,SGD,"5,000,001",--,Tier rate,0.006
Germany,SGD,,"50,000",List rate,0.0132
,SGD,"50,001","250,000",Tier rate,0.0108
,SGD,"250,001","1,000,000",Tier rate,0.0095
,SGD,"1,000,001","2,500,000",Tier rate,0.0079
,SGD,"2,500,001","5,000,000",Tier rate,0.006
,SGD,"5,000,001",--,Tier rate,0.0054
India,SGD,,"50,000",List rate,0.0068
,SGD,"50,001","250,000",Tier rate,0.0049
,SGD,"250,001","1,000,000",Tier rate,0.0031
,SGD,"1,000,001","2,500,000",Tier rate,0.0023
,SGD,"2,500,001","5,000,000",Tier rate,0.0015
,SGD,"5,000,001",--,Tier rate,0.001
Indonesia,SGD,,"50,000",List rate,0.031
,SGD,"50,001","250,000",Tier rate,0.0269
,SGD,"250,001","1,000,000",Tier rate,0.0252
,SGD,"1,000,001","2,500,000",Tier rate,0.0234
,SGD,"2,500,001","5,000,000",Tier rate,0.02
,SGD,"5,000,001",--,Tier rate,0.0183
Israel,SGD,,"50,000",List rate,0.0163
,SGD,"50,001","250,000",Tier rate,0.0137
,SGD,"250,001","1,000,000",Tier rate,0.0118
,SGD,"1,000,001","2,500,000",Tier rate,0.0083
,SGD,"2,500,001","5,000,000",Tier rate,0.0069
,SGD,"5,000,001",--,Tier rate,0.0062
Italy,SGD,,"50,000",List rate,0.0155
,SGD,"50,001","250,000",Tier rate,0.0137
,SGD,"250,001","1,000,000",Tier rate,0.0122
