"Cost per minute in USD on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
Argentina,$US,,"50,000",List rate,0.0101
,$US,"50,001","250,000",Tier rate,0.0084
,$US,"250,001","1,000,000",Tier rate,0.0073
,$US,"1,000,001","2,500,000",Tier rate,0.0063
,$US,"2,500,001","5,000,000",Tier rate,0.0052
,$US,"5,000,001",--,Tier rate,0.0046
Brazil,$US,,"50,000",List rate,0.0108
,$US,"50,001","250,000",Tier rate,0.0068
,$US,"250,001","1,000,000",Tier rate,0.0044
,$US,"1,000,001","2,500,000",Tier rate,0.0034
,$US,"2,500,001","5,000,000",Tier rate,0.002
,$US,"5,000,001",--,Tier rate,0.0018
Chile,$US,,"50,000",List rate,0.0121
,$US,"50,001","250,000",Tier rate,0.0098
,$US,"250,001","1,000,000",Tier rate,0.0086
,$US,"1,000,001","2,500,000",Tier rate,0.0074
,$US,"2,500,001","5,000,000",Tier rate,0.0066
,$US,"5,000,001",--,Tier rate,0.0055
Colombia,$US,,"50,000",List rate,0.0111
,$US,"50,001","250,000",Tier rate,0.0091
,$US,"250,001","1,000,000",Tier rate,0.008
,$US,"1,000,001","2,500,000",Tier rate,0.0065
,$US,"2,500,001","5,000,000",Tier rate,0.004
,$US,"5,000,001",--,Tier rate,0.0039
Egypt,$US,,"50,000",List rate,0.0127
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.009
,$US,"1,000,001","2,500,000",Tier rate,0.0068
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.005
France,$US,,"50,000",List rate,0.0099
,$US,"50,001","250,000",Tier rate,0.0082
,$US,"250,001","1,000,000",Tier rate,0.0071
,$US,"1,000,001","2,500,000",Tier rate,0.0059
,$US,"2,500,001","5,000,000",Tier rate,0.0052
,$US,"5,000,001",--,Tier rate,0.0047
Germany,$US,,"50,000",List rate,0.0103
,$US,"50,001","250,000",Tier rate,0.0084
,$US,"250,001","1,000,000",Tier rate,0.0074
,$US,"1,000,001","2,500,000",Tier rate,0.0062
,$US,"2,500,001","5,000,000",Tier rate,0.0047
,$US,"5,000,001",--,Tier rate,0.0042
India,$US,,"50,000",List rate,0.0053
,$US,"50,001","250,000",Tier rate,0.0038
,$US,"250,001","1,000,000",Tier rate,0.0024
,$US,"1,000,001","2,500,000",Tier rate,0.0018
,$US,"2,500,001","5,000,000",Tier rate,0.0012
,$US,"5,000,001",--,Tier rate,0.0008
Indonesia,$US,,"50,000",List rate,0.0242
,$US,"50,001","250,000",Tier rate,0.021
,$US,"250,001","1,000,000",Tier rate,0.0197
,$US,"1,000,001","2,500,000",Tier rate,0.0183
,$US,"2,500,001","5,000,000",Tier rate,0.0156
,$US,"5,000,001",--,Tier rate,0.0143
Israel,$US,,"50,000",List rate,0.0127
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.0092
,$US,"1,000,001","2,500,000",Tier rate,0.0065
,$US,"2,500,001","5,000,000",Tier rate,0.0054
,$US,"5,000,001",--,Tier rate,0.0048
Italy,$US,,"50,000",List rate,0.0121
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.0095
,$US,"1,000,001","2,500,000",Tier rate,0.0083
,$US,"2,500,001","5,000,000",Tier rate,0.0076
,$US,"5,000,001",--,Tier rate,0.0069
Malaysia,$US,,"50,000",List rate,0.0108
,$US,"50,001","250,000",Tier rate,0.0094
,$US,"250,001","1,000,000",Tier rate,0.0071
,$US,"1,000,001","2,500,000",Tier rate,0.0069
,$US,"2,500,001","5,000,000",Tier rate,0.0059
,$US,"5,000,001",--,Tier rate,0.0053
Mexico,$US,,"50,000",List rate,0.0094
,$US,"50,001","250,000",Tier rate,0.008
,$US,"250,001","1,000,000",Tier rate,0.007
,$US,"1,000,001","2,500,000",Tier rate,0.0054
,$US,"2,500,001","5,000,000",Tier rate,0.0042
,$US,"5,000,001",--,Tier rate,0.0038
Netherlands,$US,,"50,000",List rate,0.0063
,$US,"50,001","250,000",Tier rate,0.0052
,$US,"250,001","1,000,000",Tier rate,0.0043
,$US,"1,000,001","2,500,000",Tier rate,0.0034
,$US,"2,500,001","5,000,000",Tier rate,0.0025
,$US,"5,000,001",--,Tier rate,0.0023
Nigeria,$US,,"50,000",List rate,0.0103
,$US,"50,001","250,000",Tier rate,0.0084
,$US,"250,001","1,000,000",Tier rate,0.0074
,$US,"1,000,001","2,500,000",Tier rate,0.0069
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.0053
Pakistan,$US,,"50,000",List rate,0.0119
,$US,"50,001","250,000",Tier rate,0.0092
,$US,"250,001","1,000,000",Tier rate,0.0082
,$US,"1,000,001","2,500,000",Tier rate,0.0075
,$US,"2,500,001","5,000,000",Tier rate,0.0071
,$US,"5,000,001",--,Tier rate,0.0067
Peru,$US,,"50,000",List rate,0.0121
,$US,"50,001","250,000",Tier rate,0.0098
,$US,"250,001","1,000,000",Tier rate,0.0086
,$US,"1,000,001","2,500,000",Tier rate,0.0074
,$US,"2,500,001","5,000,000",Tier rate,0.0064
,$US,"5,000,001",--,Tier rate,0.0059
Russia,$US,,"50,000",List rate,0.0097
,$US,"50,001","250,000",Tier rate,0.0082
,$US,"250,001","1,000,000",Tier rate,0.0071
,$US,"1,000,001","2,500,000",Tier rate,0.0058
,$US,"2,500,001","5,000,000",Tier rate,0.0043
,$US,"5,000,001",--,Tier rate,0.004
Saudi Arabia,$US,,"50,000",List rate,0.0127
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.009
,$US,"1,000,001","2,500,000",Tier rate,0.0068
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.005
South Africa,$US,,"50,000",List rate,0.0108
,$US,"50,001","250,000",Tier rate,0.0078
,$US,"250,001","1,000,000",Tier rate,0.0059
,$US,"1,000,001","2,500,000",Tier rate,0.0044
,$US,"2,500,001","5,000,000",Tier rate,0.0041
,$US,"5,000,001",--,Tier rate,0.0038
Spain,$US,,"50,000",List rate,0.0129
,$US,"50,001","250,000",Tier rate,0.0113
,$US,"250,001","1,000,000",Tier rate,0.0101
,$US,"1,000,001","2,500,000",Tier rate,0.0085
,$US,"2,500,001","5,000,000",Tier rate,0.0069
,$US,"5,000,001",--,Tier rate,0.0061
Turkey,$US,,"50,000",List rate,0.0108
,$US,"50,001","250,000",Tier rate,0.0087
,$US,"250,001","1,000,000",Tier rate,0.0077
,$US,"1,000,001","2,500,000",Tier rate,0.0065
,$US,"2,500,001","5,000,000",Tier rate,0.0048
,$US,"5,000,001",--,Tier rate,0.0042
United Arab Emirates,$US,,"50,000",List rate,0.0127
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.009
,$US,"1,000,001","2,500,000",Tier rate,0.0068
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.005
United Kingdom,$US,,"50,000",List rate,0.0099
,$US,"50,001","250,000",Tier rate,0.0086
,$US,"250,001","1,000,000",Tier rate,0.0075
,$US,"1,000,001","2,500,000",Tier rate,0.0057
,$US,"2,500,001","5,000,000",Tier rate,0.0042
,$US,"5,000,001",--,Tier rate,0.0036
North America,$US,,"50,000",List rate,0.0121
,$US,"50,001","250,000",Tier rate,0.0101
,$US,"250,001","1,000,000",Tier rate,0.009
,$US,"1,000,001","2,500,000",Tier rate,0.0065
,$US,"2,500,001","5,000,000",Tier rate,0.0043
,$US,"5,000,001",--,Tier rate,0.0042
Rest of Africa,$US,,"50,000",List rate,0.0103
,$US,"50,001","250,000",Tier rate,0.0084
,$US,"250,001","1,000,000",Tier rate,0.0074
,$US,"1,000,001","2,500,000",Tier rate,0.0062
,$US,"2,500,001","5,000,000",Tier rate,0.0047
,$US,"5,000,001",--,Tier rate,0.0042
Rest of Asia Pacific,$US,,"50,000",List rate,0.0114
,$US,"50,001","250,000",Tier rate,0.0094
,$US,"250,001","1,000,000",Tier rate,0.0081
,$US,"1,000,001","2,500,000",Tier rate,0.0069
,$US,"2,500,001","5,000,000",Tier rate,0.0052
,$US,"5,000,001",--,Tier rate,0.0044
Rest of Central & Eastern Europe,$US,,"50,000",List rate,0.0095
,$US,"50,001","250,000",Tier rate,0.0076
,$US,"250,001","1,000,000",Tier rate,0.0066
,$US,"1,000,001","2,500,000",Tier rate,0.0058
,$US,"2,500,001","5,000,000",Tier rate,0.0043
,$US,"5,000,001",--,Tier rate,0.0037
Rest of Latin America,$US,,"50,000",List rate,0.0116
,$US,"50,001","250,000",Tier rate,0.0095
,$US,"250,001","1,000,000",Tier rate,0.0082
,$US,"1,000,001","2,500,000",Tier rate,0.007
,$US,"2,500,001","5,000,000",Tier rate,0.0048
,$US,"5,000,001",--,Tier rate,0.0047
Rest of Middle East,$US,,"50,000",List rate,0.0127
,$US,"50,001","250,000",Tier rate,0.0107
,$US,"250,001","1,000,000",Tier rate,0.009
,$US,"1,000,001","2,500,000",Tier rate,0.0068
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.005
Rest of Western Europe,$US,,"50,000",List rate,0.0103
,$US,"50,001","250,000",Tier rate,0.0084
,$US,"250,001","1,000,000",Tier rate,0.0074
,$US,"1,000,001","2,500,000",Tier rate,0.0062
,$US,"2,500,001","5,000,000",Tier rate,0.0055
,$US,"5,000,001",--,Tier rate,0.0047
Other,$US,,"50,000",List rate,0.0132
